kf,,1.3E+06,s-1,The rate constant for fluorescence emission by excited chlorophyll,Lavergne and Trissl (1995); Lazar (1999),,,
kd,,2E+08,s-1,Initial rate constant for heat dissipation of excitation energy in PSI,Lavergne and Trissl (1995); Brody (2002),,,
"kf,ps1","FI::RC::kA_f,FI::RC::kU_f",0,,The rate constant for fluorescence emission by excited chlorophyll from core and peripheral antenna of PSI,Model assumption,,,
k15,,1E+10,s-1,Rate constant for primary charge separation of PSI,Chitnis (2001),,,
k16,,1E+05,s-1,The rate constant for reaction A0 - + Fd ↔ Fd- + A0,Chitnis (2001),,,
Em_ISP,BF::RC::Em_IPS,310,mV,Midpoint potential for ion sulfer protein,Hong et al. (1999),0.001,,
Em_CytbL,,-90,mV,Midpoint potential for Cyt bL,Chen (1989),0.001,,
Em_CytbH,,50,mV,Midpoint potential for Cyt bH,Chen (1989),0.001,,
Em_Cytc1,,0.270,V,Midpoint potential for Cyt f,Chen (1989),,,
Em_Cytc2,BF::RC::Em_PG,350,mV,Midpoint potential for plastocyanin,Chen (1989),0.001,,
RVA,,8E+10, L cm-2,The ratio of lumen volume to thylakoid membrane in chloroplast,Vredenberg (1976); Vredenberg and Bulychev (1976),,,
KM1ATP,,0.12,mmol l-1,Michaelis Menten constant for ATP for ADP+Pi  ATP,Model estimate,,,
KM1ADP,,0.014,mmol l-1,Michaelis menten constant for ADP for  ADP+Pi  ATP,Davenport and Mccarty (1986),,,
KM1PI,,0.3,mmol l-1,Michaelis Menten constant for Pi for  ADP+Pi  ATP,Aflalo and Shavit (1983),,,
HPR,,4.66,,The number of proton translocation through ATP synthase required for generation of 1 ATP,Vollmar et al. (2009),,,
KM2NADP,,0.05,mM,Michaelis Menten constant for Fdr + NADP+ +H+ Fd + NADPH,Aliverti et al. (1995),,,
KM2NADPH,,0.035,mM,Michaelis Menton constant for Fdr + NADP+ +H+ Fd + NADPH,Aliverti et al. (1995),,,
V2M,,27.8,mmol l-1 s-1,The maximum rate for Fdr + NADP+ +H+ Fd + NADPH,Model estimate based on Fridlyand and Scheibe (1999),,,
K2,,495,,The equilibrium constant for Fdr + NADP+ +H+ Fd + NADPH,Fridlyand and Scheibe (1999),,,
Kbs,BF::RC::KBs,0.015,mol l-1 (pH unit)-1,Buffer capacity of stroma,Oja et al. (1999; Cruz et al. (2001),,"Originally parameter unused, but hard coded",
Kbl,BF::RC::KBl,0.015,mol l-1 (pH unit)-1,Buffer capacity of lumen,Oja et al. (1999); Cruz et al. (2001),,"Originally parameter unused, but hard coded",
R,BF::MOD::RT,8.314,J K-1 mol-1,Gas constant,,298,,
T,,298,K,Temperature,,,,
Qc,IGNORED,1,Coulomb,The net charges in stroma,,,,
F,IGNORED,9.649E+04,Coulomb mol-1,Faraday Constant,,,,
kro,FIBF::RC::RC0,0.1,s-1,Maximal relaxation constant for changes in ‘rate constant’ of heat dissipation,Laisk et al. (1997),,,
kr,FIBF::RC::RC,0.1,s-1,Maximal relaxation constant for changes in ‘rate constant’ of heat dissipation under a particular Xstate,Laisk et al. (1997),,,
kdmo,,5.6E+07,s-1,Maximum ‘rate constant” of heat dissipation of excitation energy,Model estimate,,,
KE8,BF::RC::KE8,0.21,,The equilibrium constant for reaction  ISPHred + Cyt f  ISPH+ox + Cyt f-,Model estimate,,,
KE9,BF::RC::KE9,22.55,,The equilibrium constant for Cyt f- + PC+ « Cyt f + PC,Model estimate,,,
C,BF::RC::MemCap,6E-07,degF cm-2,Membrane electrical capacity,Model estimate,,,
kra,RuACT::RC::RCA,0.0000768403258029814,[activase] s-1,Rate constant for activation Rubisco by Rubisco activase,Model estimates,,,

"Table II.3: The Michaelis-Menten constants, inhibition constants and activation constants of the enzymes in the C3 photosynthesis carbon metabolism model (Zhu et al., 2007). a: RN: Reaction number corresponding to the number in Fig. 1. b: Parameters beginning KM represent the Michaelis-Menten constant of the metabolite listed in the description column. Parameters beginning with KI  represent the inhibition constant of the inhibitor listed in the description  column. Parameters beginning with KA  represent the activation constant of the activator listed in the description column. c: The units of the equilibrium constant are mM (which is equivalent to mmol l-1) for all constants, except Ke. The unit of Ke  for reactions with one substrate and one product, or reactions with two substrates and two products is dimensionless. The unit of Ke  for reactions with one substrate and two products is mM. The unit for reactions with two substrates and one product is (mM)-1. d: The description column lists the compounds to which the kinetic constant applies."
Name,C++ Parameter,Value,Units,RNa,Reaction,Description,Reference,,
KM11,,0.0115,mM,1,RuBP+CO2→2PGA,CO2,"Jordan and Ogren (1981), Tcherkez et al. (2006)",,
KM12,,0.222,mM,1,RuBP+CO2→2PGA,O2,"Jordan and Ogren (1981), von Caemmerer (2000)",,
KM13,,0.02,mM,1,RuBP+CO2→2PGA,RuBP,Farquhar (1979),,
KI11,,0.84,mM,1,RuBP+CO2→2PGA,PGA,Badger and Lorimer (1981),,
KI12,,0.04,mM,1,RuBP+CO2→2PGA,FBP,Badger and Lorimer (1981),,
KI13,,0.075,mM,1,RuBP+CO2→2PGA,SBP,Badger and Lorimer (1981),,
KI14,,0.9,mM,1,RuBP+CO2→2PGA,Pi,Badger and Lorimer (1981),,
KI15,,0.07,mM,1,RuBP+CO2→2PGA,NADPH,Badger and Lorimer (1981),,
Vm1,,2.93,mM L-1s-1,1,RuBP+CO2→2PGA,,"Latzko et al (1981), Woodrow (1986), Geiger et al. (1999), Haake et al.(1999), Chen et al. (2005), Strand et al. (2000), Strand et al (1999), Tamoi et al (2006), Peterkofsky and Racher (1961), Chen et al (2005)",,
KM21,,0.24,mM,2,PGA+ATP ↔ADP + DPGA,PGA,"Larsson-Raznikiewicz (1967), Kopkesecundo et al. (1990)",,
KM22,,0.39,mM,2,PGA+ATP ↔ADP + DPGA,ATP,"Larsson-Raznikiewicz (1967), Kopkesecundo et al. (1990)",,
KM23,,0.23,mM,2,PGA+ATP ↔ADP + DPGA,ADP,Lee (1982),,
KE2,,7.6E-04,,2,PGA+ATP↔ADP + DPGA,Equ. Const.,Laisk et al. (1989); Dietz et al (1984); Heber et al (1986),,
Vm2,,30.15,mM L-1s-1,2,PGA+ATP↔ADP + DPGA,,The same as Vm1,,
KM31,PS::RC::KM31a,0.004,mM,3,DPGA+NADPH+H+ ↔GAP + Pi+NADP,BPGA,Trost et al. (1993),,
KM32,PS::MOD::KM32b,0.1,mM,3,DPGA+NADPH +H+ ↔GAP + Pi+NADP,NADPH,"Cerf (1978), Ferri et al (1978), Trost (1993), Macioszek and Anderson (1987)",,
Vm3,,4.04,mM L-1s-1,3,DPGA+NADPH +H+ ↔GAP + Pi+NADP,,The same as Vm1,,
KE4,,0.05,,4,DHAP ↔GAP,Equ. Const.,Bassham and Krause (1969),,
KM51,,0.3,mM,5,GAP+DHAP ↔FBP,GAP,Iwaki et al (1991),,
KM52,,0.4,mM,5,GAP+DHAP ↔FBP,DHAP,Iwaki et al (1991),,
KM53,,0.02,mM,5,GAP+DHAP ↔FBP,FBP,"Brooks and Criddle (1966), Schnarrenberger and Kruger (1986)",,
KE5,,7.1,,5,GAP+DHAP ↔FBP,Equ. Const.,"Bassham and Krause (1969), Iwaki et al (1991)",,
Vm5,,1.22,mM L-1s-1,5,GAP+DHAP ↔FBP,,The same as Vm1,,
KM61,,0.033,mM,6,FBP→F6P+Pi,FBP,Charles and Halliwell (1981),,
KI61,,0.7,mM,6,FBP→F6P+Pi,F6P,Heldt (1983),,
KI62,,12,mM,6,FBP→F6P+Pi,Pi,Charles and Halliwell (1981),,
KE6,,6.7E+05,,6,FBP→F6P+Pi,Equ Const.,"Bassham and Krause (1969) , Laisk et al.(1989)",,
Vm6,,0.734,mM L-1s-1,6,FBP→F6P+Pi,,The same as Vm1,,
KM71,,0.1,mM,7,F6P+GAP→E4P+Xu5P,Xu5P,"Murphy and Walker (1982),  Laisk et al (1989)",,
KM72,,0.1,mM,7,F6P+GAP→E4P+Xu5P,GAP,"Sprenger et al (1995), Schenk et al (1998)",,
KM73,,0.1,mM,7,F6P+GAP→E4P+Xu5P,F6P,Model estimate,,
KE7,,10,,7,F6P+GAP→E4P+Xu5P,Equ. Const.,"Bassham and Krause (1969), Laisk et al.(1989)",,
Vm7,,6.24,mM L-1s-1,7,F6P+GAP→E4P+Xu5P,,The same as Vm1,,
KM8,IGNORED PS::RC::KM8,0.02,mM,8,E4P+DHAP→SBP,SBP,Brooks and Criddle (1966),,
KM81,,0.4,mM,8,E4P+DHAP→SBP,DHAP,Iwaki et al (1991),,
KM82,,0.2,mM,8,E4P+DHAP→SBP,E4P,Estimate,,
KE8,PS::RC::KE8,1.07,,8,E4P+DHAP→SBP,Equ. Const.,"Bassham and Krause (1969) , Laisk et al.(1989)",,
Vm8,,1.22,mM L-1s-1,8,E4P+DHAP→SBP,,The same as Vm1,,
KM9,,0.05,mM,9,SBP→S7P+Pi,SBP,"Woodrow et al (1983), Cadet and Meunier (1988)",,
KI9,,12,mM,9,SBP→S7P+Pi,Pi,Woodrow et al(1983),,
KE9,PS::RC::KE9,6.7E+05,,9,SBP→S7P+Pi,Equ. Const.,"Bassham and Krause (1969), Laisk et al.(1989)",,
Vm9,,0.96,mM L-1s-1,9,SBP→S7P+Pi,,The same as Vm1,,
KM101,,0.1,mM,10,S7P+GAP→Ri5P+Xu5P,X5P,"Racher (1961), Laisk et al (1989)",,
KM102,,0.072,mM,10,S7P+GAP→Ri5P+Xu5P,GAP,Albe (1991); Laisk et al (1989),,
KM103,,0.46,mM,10,S7P+GAP→Ri5P+Xu5P,S7P,Albe (1991); Laisk et al (1989),,
KM10,,1.5,mM,10,S7P+GAP→Ri5P+Xu5P,R5P,Albe (1991); Laisk et al (1989),,
KE10,,1.17,,10,S7P+GAP→Ri5P+Xu5P,Equ. Const.,"Bassham and Krause (1969), Laisk et al.(1989)",,
Vm10,,6.24,mM L-1s-1,10,S7P+GAP→Ri5P+Xu5P,,The same as Vm1,,
KE11,,0.4,,11,Ri5P↔Ru5P,Equ. Const.,Bassham and Krause (1969),,
KE12,,0.67,,12,Xu5P↔Ru5P,Equ. Const.,"Bassham and Krause, (1969)",,
KM131,,0.05,mM,13,Ru5P+ATP→RuBP+ADP,Ru5P,"Gardemann et al (1983), Omnaas et al (1985)",,
KM132,,0.059,mM,13,Ru5P+ATP→RuBP+ADP,ATP,"Laing et al (1981), Gardemann et al (1983), Omnaas et al (1985)",,
KI131,,2,mM,13,Ru5P+ATP→RuBP+ADP,PGA,Gardemann et al (1983),,
KI132,,0.7,mM,13,Ru5P+ATP→RuBP+ADP,RuBP,Gardemann et al (1983),,
KI133,,4,mM,13,Ru5P+ATP→RuBP+ADP,Pi,Gardemann et al (1983),,
KI134,,2.5,mM,13,Ru5P+ATP→RuBP+ADP,ADP,Gardemann et al (1983),,
KE135,PS::RC::KI135,0.4,,13,Ru5P+ATP→RuBP+ADP,ADP,Gardemann et al (1983),,
