Table II.2: The values of parameters and kinetic constants added to the e-Photosynthesis model in the light reactions of the e-Photosynthesis.
Name,C++ Parameter,Value,Units,Description,Reference,C++ Parameter conversion,Notes,Unnamed: 8
PMg,BF::RC::PMg,3.6e-08,cm s-1,Permeability constant for Mg2+ through thylakoid membrane,Pottosin and Schonknecht (1996),,,
PCl,BF::RC::PCl,1.8e-08,cm s-1,Permeability constant for Cl- through thylakoid membrane,Cruz et al. (2001),,,
kAU,FI::RC::kA_U,10000000000.0,s-1,Rate constant for exciton transfer from peripheral antenna to core antenna,Model estimate based on rate of excitation transfer between chlorophylls,,,
kUA,FI::RC::kU_A,10000000000.0,s-1,Rate constant for exciton transfer from peripheral antenna to core antenna,Model estimate based on rate of excitation transfer between chlorophylls,,,
kf,BF::RC::Kf,1300000.0,s-1,The rate constant for fluorescence emission by excited chlorophyll,Lavergne and Trissl (1995); Lazar (1999),,,
kd,"FI::RC::kU_d,FI::RC::kA_d,BF::RC::Kd,FIBF::COND::kd",200000000.0,s-1,Initial rate constant for heat dissipation of excitation energy in PSI,Lavergne and Trissl (1995); Brody (2002),,,
"kf,ps1",IGNORED: Not present in BF,0.0,,The rate constant for fluorescence emission by excited chlorophyll from core and peripheral antenna of PSI,Model assumption,,,
k15,BF::RC::K15,10000000000.0,s-1,Rate constant for primary charge separation of PSI,Chitnis (2001),,,
k16,BF::RC::K16,100000.0,s-1,The rate constant for reaction A0 - + Fd ↔ Fd- + A0,Chitnis (2001),,,
Em_ISP,BF::RC::Em_IPS,310.0,mV,Midpoint potential for ion sulfer protein,Hong et al. (1999),0.001,,
Em_CytbL,,-90.0,mV,Midpoint potential for Cyt bL,Chen (1989),0.001,,
Em_CytbH,,50.0,mV,Midpoint potential for Cyt bH,Chen (1989),0.001,,
Em_Cytc1,BF::RC::Em_Cytf,0.27,V,Midpoint potential for Cyt f,Chen (1989),,,
Em_Cytc2,BF::RC::Em_PG,350.0,mV,Midpoint potential for plastocyanin,Chen (1989),0.001,,
RVA,BF::RC::RVA,8e-10, L cm-2,The ratio of lumen volume to thylakoid membrane in chloroplast,Vredenberg (1976); Vredenberg and Bulychev (1976),,,
KM1ATP,BF::RC::KM1ATP,0.12,mmol l-1,Michaelis Menten constant for ATP for ADP+Pi  ATP,Model estimate,,,
KM1ADP,BF::RC::KM1ADP,0.014,mmol l-1,Michaelis menten constant for ADP for  ADP+Pi  ATP,Davenport and Mccarty (1986),,,
KM1PI,BF::RC::KM1PI,0.3,mmol l-1,Michaelis Menten constant for Pi for  ADP+Pi  ATP,Aflalo and Shavit (1983),,,
HPR,ALL::VARS::HPR,4.66,,The number of proton translocation through ATP synthase required for generation of 1 ATP,Vollmar et al. (2009),,,
KM2NADP,BF::RC::KM2NADP,0.05,mM,Michaelis Menten constant for Fdr + NADP+ +H+ Fd + NADPH,Aliverti et al. (1995),,,
KM2NADPH,BF::RC::KM2NADPH,0.035,mM,Michaelis Menton constant for Fdr + NADP+ +H+ Fd + NADPH,Aliverti et al. (1995),,,
V2M,BF::RC::V2M,27.8,mmol l-1 s-1,The maximum rate for Fdr + NADP+ +H+ Fd + NADPH,Model estimate based on Fridlyand and Scheibe (1999),,,
K2,BF::RC::K2,495.0,,The equilibrium constant for Fdr + NADP+ +H+ Fd + NADPH,Fridlyand and Scheibe (1999),,,
Kbs,BF::RC::KBs,0.015,mol l-1 (pH unit)-1,Buffer capacity of stroma,Oja et al. (1999; Cruz et al. (2001),,"Originally parameter unused, but hard coded",
Kbl,BF::RC::KBl,0.015,mol l-1 (pH unit)-1,Buffer capacity of lumen,Oja et al. (1999); Cruz et al. (2001),,"Originally parameter unused, but hard coded",
R,BF::MOD::RT,8.314,J K-1 mol-1,Gas constant,,298.0,,
T,IGNORED BF::MOD::T,298.0,K,Temperature,,,,
Qc,IGNORED,1.0,Coulomb,The net charges in stroma,,,,
F,IGNORED,96490.0,Coulomb mol-1,Faraday Constant,,,,
kro,FIBF::RC::RC0,0.1,s-1,Maximal relaxation constant for changes in ‘rate constant’ of heat dissipation,Laisk et al. (1997),,,
kr,FIBF::RC::RC,0.1,s-1,Maximal relaxation constant for changes in ‘rate constant’ of heat dissipation under a particular Xstate,Laisk et al. (1997),,,
kdmo,FIBF::RC::kdm0,56000000.0,s-1,Maximum ‘rate constant” of heat dissipation of excitation energy,Model estimate,,,
KE8,BF::RC::KE8,0.21,,The equilibrium constant for reaction  ISPHred + Cyt f  ISPH+ox + Cyt f-,Model estimate,,,
KE9,BF::RC::KE9,22.55,,The equilibrium constant for Cyt f- + PC+ « Cyt f + PC,Model estimate,,,
C,BF::RC::MemCap,6e-07,degF cm-2,Membrane electrical capacity,Model estimate,,,
kra,RuACT::RC::RCA,7.68403258029e-05,[activase] s-1,Rate constant for activation Rubisco by Rubisco activase,Model estimates,,,
